Wavelength	Phase  Flux	Phase  SNR
4.040404040404041	nan	nan
4.122028364452606	668106.3494522618	0.4279421738002969
4.205301664744579	33868.868197953576	0.022771932599877972
4.290257253931338	3732.0633720000765	0.0026329927806550426
4.376929117647122	11105.090472091717	0.008217652947783814
4.465351928104639	406223.30955419375	0.3149374264444507
4.555561057965339	983974.9131304955	0.7978559188322031
4.6475925944898915	1063937.3213916062	0.9006453819788165
4.7414833539745365	721467.0050264389	0.636579753486586
4.8372708964790725	881270.7598072662	0.8093330689681582
4.934993540852387	1226575.3651783234	1.1715409667634886
5.034690380061526	1311677.8233960916	1.3026480149437407
5.136401296830446	1268138.5437590778	1.3091203684764832
5.240166979594697	1286636.2358516874	1.3797359531066695
5.346028938778428	1368558.5697897736	1.5228645640933476
5.454029523400215	1201915.2871739988	1.3860590551810128
5.564211938014361	1137816.713073724	1.3576410431770396
5.676620259994449	1046366.0698746276	1.2898878073552233
5.791299457166054	1094730.3419014714	1.392281897702003
5.908295405795672	1080852.3000207897	1.416822097707988
6.027654908943059	1198615.3457122163	1.6179460899823228
6.149425715184332	1449850.8635356007	2.013574407717368
6.273656537713309	2029768.4305717319	2.8969005374012924
6.40039707382873	1624824.2740365618	2.382475415614156
6.529698024815169	1677407.1078276287	2.521939251740515
6.661611116225576	2192947.016395093	3.372234686924933
6.796189118573567	2940718.2423936315	4.612881785377035
6.933485868443741	3435904.1361142867	5.484442898063423
7.073556290028462	4104736.621092336	6.646540915729713
7.216456417099745	4659341.524713103	7.63140628853462
7.362243415424992	5477922.704160623	9.04453948925786
7.510975605635597	6166947.135617345	10.234322704774186
7.662712486557528	6884557.296898314	11.44735062415753
7.817514759013236	7389232.4989324715	12.27438045392952
7.9754443501044125	8032002.742323922	13.28209740662756
8.13656443798531	8609894.617957713	14.125638004321777
8.300939477136529	9172679.881985856	14.876456189010337
8.46863522414939	9652953.617843747	15.41918568127406
8.639718764031194	10083656.465092128	15.803950793993893
8.814258537041928	10375364.868167283	15.896102592773158
8.992324366073078	10927646.209334297	16.29943463016839
9.173987484579602	11450214.897737006	16.568372941270265
9.359320565076162	9239527.026878051	12.965142590399283
9.548397748209013	4919449.297479076	6.686883814393648
9.741294672415254	5749075.817646837	7.508881848670321
9.93808850418122	10429446.210388765	13.017071021198314
10.138857968912154	14662964.28748702	17.47477630093873
10.34368338242553	15749316.38646037	17.950519865670092
10.552646683080592	16309701.756156852	17.769695942600478
10.765831464556967	16836086.494942907	17.524417792955624
10.983323009295493	17301226.949793376	17.199311099656544
11.205208322614594	17720863.710383408	16.82236500350276
11.431576167515898	18107084.707399525	16.413611038269742
11.662517100192987	18465408.984078713	15.983864444388207
11.898123506257493	18800562.851896252	15.541219567928284
12.138489637697036	19101719.052189413	15.080024423562074
12.383711650579807	19316391.371712454	14.564398437501637
12.633887643520811	19379318.247937582	13.95587095737977
12.889117696925274	19540861.59973404	13.439253672089272
13.149503913024775	19143289.282432687	12.574832785796525
13.415150456722243	16824943.21227341	10.56040038206289
13.686163597262087	15548592.108172188	9.32103134962635
13.96265175074213	12713630.838411259	7.281278586430793
14.244725523484396	10087848.33281913	5.518662271878544
14.53249775628206	7642827.952282336	3.993516044626575
14.826083569540284	7193507.684226946	3.5889063714200877
15.125600409328976	7365447.072452774	3.5089471381471777
15.431168094365923	7967908.230154958	3.625583084214768
15.742908863949076	9973507.309453849	4.335278738232693
16.060947426857137	13452403.366042994	5.587775246015776
16.38541101123809	15751276.665803885	6.2570844336003315
16.716429415505523	17047958.14628475	6.481894928388152
17.05413506026321	18894787.026182525	6.880807386566682
17.39866304127863	19466358.487715203	6.796162439088919
17.75015118352668	19350444.41233178	6.4825459717557905
18.1087400963252	19142518.27593353	6.15892213031481
18.39491374864423	18662352.437247258	4.399618563100291
